provider,region,workload,phase,use_case,request_id,duration_ms,fn_ms,init_ms,exec_ms,cold,failure,cost_gb_seconds,compute_time,download_time,upload_time,source_file
aws,us,220,warm,3008,b1abf18c-b349-431b-8111-3d6b8c03815a,1890.192,1476.9999980926514,0.0,0.0,False,False,0.0,1278577.0,141277.0,57033.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,b1d30ebc-cec8-4c29-97db-9cc8b837f62d,2078.421,1647.3019123077393,0.0,0.0,False,False,0.0,1228837.0,185282.0,233077.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,b30c569c-3763-43f4-b343-c28d2ae2d7cc,1973.888,1547.6558208465576,0.0,0.0,False,False,0.0,1252470.0,160115.0,134957.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,b39641de-8525-4181-88f5-5c3581846632,1996.873,1587.066888809204,0.0,0.0,False,False,0.0,1308905.0,194597.0,83452.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,b45dceac-7b2f-4c2e-9b92-706baae8ca4a,1906.868,1506.7470073699951,0.0,0.0,False,False,0.0,1241475.0,140022.0,125146.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,b4b0ea16-e2e2-440f-904f-4788006a1eec,1835.138,1396.9001770019531,0.0,0.0,False,False,0.0,1216617.0,139878.0,40297.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,b71df858-1357-479b-af13-914bef12c1c6,1949.738,1547.1928119659424,0.0,0.0,False,False,0.0,1279700.0,146355.0,121026.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,b771fad3-7965-4b0c-81f1-089d279c6fae,1899.491,1469.2859649658203,0.0,0.0,False,False,0.0,1184706.0,160116.0,124362.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,b7cab750-82c7-4c79-8719-4c6890a4bede,2209.365,1788.8901233673096,0.0,0.0,False,False,0.0,1460092.0,220746.0,107936.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,b9412eaa-2a93-422e-8281-6a54091634fb,1989.346,1556.0991764068604,0.0,0.0,False,False,0.0,1250402.0,153400.0,152187.0,aws_us_220_warm_results_3008.json
